record_key;ragione_sociale_azienda;date_periodo_di_retribuzione;string_periodo_di_retribuzione;retribuzione_minima_lorda;giorni_lavorati;ore_lavorate;percentuale_maggiorazione_ore_straordinario;ore_straordinarie;irpef_pagata;totale_competenze;totale_trattenute;arrotondamento;netto_del_mese;retribuzione_utile_tfr;quota_tfr;totale_ferie_rimanenti;totale_permessi_rimanenti;note
9e19798b6f1660d7018706df9686053f4060845d69f334f6e5876aad0097421f;Relatech Spa;2022-06-01;Giugno 2022;1785.72;0;0;0;0;31.0;148.81;45.82;0.01;103;148.81;11.02;12.83333;18.66667;Quattordicesima Mensilità Giugno 2022 calcolata su 1 mese lavorato
dc06d9add7b0394c3ec9573358843e479f7dea936a135055aec7c04db3ce62b5;Relatech Spa;2022-06-01;Giugno 2022;1785.0;19;152;15;16;270.24;2324.53;722.38;0.01;1603;1660.99;123.04;12.83333;17.66666;Script completato con successo
9abf77c42d8db86c695803e5802e5789930cc8d09795b26ffac9369a08b7a2f0;Relatech Spa;2022-07-01;Luglio 2022;1785.72;26;168;15;18;306.82;2579.91;515.52;0.61;2065;1935.72;143.39;12.83333;17.66666;Script completato con successo
4e22469089925c1341c6f5955997827b2e4c3f21ef7500b4c33d7982f9c6cb60;Relatech Spa;2022-08-01;Agosto 2022;1787.72;26;103;15;4;240.37;2056.44;421.15;0.71;1636;1815.72;134.49;3.83333;16.66667;Script completato con successo
383ff057b8da79d92ab3367220f6e66d40b6bad9a36634e08ce732ac21855d88;Relatech Spa;2022-09-01;Settembre 2022;1785.0;26;21;15;28;282.13;2577.94;520.05;0.11;2058;2085.72;154.5;3.83333;15.66666;Script completato con successo
4671d1ca223929710879de7b829d1504ba586a038790ede45e54b8d3f903d6bf;Relatech Spa;2022-10-01;Ottobre 2022;1785.72;26;168;15;39;372.48;2878.78;626.27;0.49;2253;2085.72;154.5;3.83333;15.66666;Script completato con successo
cd9085d52ddaa6889022ad1cbf337779dcfdc398f683c251867c169aa3f97619;Relatech Spa;2022-11-01;Novembre 2022;1785.0;21;168;15;7;249.54;2425.37;468.71;0.34;1957;2184.4;161.81;3.83333;15.66667;Script completato con successo
8a11565c7cfd57c82a73b1c5d2c2471e92af6a382ee6fbd9585b21edd6270336;Relatech Spa;2022-12-01;Dicembre 2022;1785.0;20;160;15;6;264.89;2525.28;116.19;0.91;2410;2304.4;170.69;3.83333;15.66666;Script completato con successo
5ec7bffd14d1bc7d19dc2c714f5dcd6677833fc1a62ce97752cbeb807fc7eb58;Relatech Spa;2022-12-01;Dicembre 2022;1785.72;0;98;15;0;221.58;1062.51;321.83;0.32;741;1041.67;77.16;3.83333;15.66667;Script completato con successo
d939e58e18cae4a14076de5a4b6399d98da3143d4172a10ce064b856002d149f;Relatech Spa;2023-01-01;Gennaio 2023;1785.72;26;166;15;1;354.92;2507.63;661.26;0.63;1847;2304.4;170.7;25.83333;45.66666;Script completato con successo
1611bf70b131d769d0fa924266e951642dc8da4c141d70e89389b7f0678a3dc7;Relatech Spa;2023-02-01;Febbraio 2023;1785.72;26;160;15;28;344.69;2380.44;630.79;0.35;1750;2235.72;165.61;25.83333;45.66666;Script completato con successo
7376844b7baa5b16868c150a45bf412870d2e64f2695076722d1b27492efe5c2;Relatech Spa;2023-03-01;Marzo 2023;1785.0;26;168;15;3;340.58;2452.6;643.16;0.56;1810;2235.72;165.6;23.83333;45.66666;Script completato con successo
1c5b224fd87dec928e4fc5709baf15e9cf615cb1d1969c956835efadae9efb3d;Relatech Spa;2023-04-01;Aprile 2023;1785.0;26;144;15;30;334.54;2370.44;624.72;0.28;1746;2235.72;165.61;23.83333;45.66666;Script completato con successo
bbc7b14be0db05efc07150ac65427fd0a9f5228f1c4d34724234f35736f9fa98;Relatech Spa;2023-05-01;Maggio 2023;1785.72;22;176;15;31;329.35;2390.44;619.26;0.82;1772;2235.72;165.61;23.83333;45.66666;Script completato con successo
8dc874dcea761699ead4a014305ea83c3d1b36a2c689ca6e85e0e0b0aa11c55e;Relatech Spa;2023-06-01;Giugno 2023;1785.72;26;18;15;142;317.63;2325.72;607.2;0.04;1719;2235.72;165.61;20.83333;43.66666;Script completato con successo
2fe0dce524cb6654dd51d1224a84814072a1b349d86b4de000a157754487c4fe;Relatech Spa;2023-06-01;Giugno 2023;1785.72;3;30;15;4;377.87;1785.72;553.76;0.04;1232;1785.72;132.28;23.83333;45.66666;Script completato con successo
5f55d7148b72b613e91ec0d1ef8735f04df3d97d26ad65dc9a3723b80b6dda59;Relatech Spa;2023-07-01;Luglio 2023;2107.15;21;168;15;7;497.61;2922.6;912.69;0.09;2010;2557.15;189.41;20.83333;43.66666;Script completato con successo
85289a613efedcc340faeea26a19d71a0495695d1a681651cedfeb2b66df25ac;Relatech Spa;2023-08-01;Agosto 2023;2107.0;26;26;15;13;459.3;2775.57;828.67;0.1;1947;2557.15;189.42;11.83333;41.66666;Script completato con successo
90cbe0338569b94c4ec0cd3cd88928ce668553a9c87b02207ec9c070c3ef274d;Relatech Spa;2023-09-01;Settembre 2023;2107.15;26;160;15;3;479.99;2856.42;853.84;0.42;2003;2557.15;189.42;11.83333;41.66666;Script completato con successo
0c6a94a55a5c88881b1c3c44be9ad715af9f5951f659453ff6f2cb7350cf135a;Relatech Spa;2023-10-01;Ottobre 2023;2107.15;26;176;15;18;492.44;2933.05;888.63;0.58;2045;2557.15;189.42;11.83333;41.66666;Script completato con successo
69c1e504c312981522288539808ed6ecbf6fae6d64e06db0871ce3f09e9b286c;Relatech Spa;2023-11-01;Novembre 2023;2107.0;26;166;15;20;532.75;3039.81;1112.82;0.01;1927;2638.19;195.42;11.83333;39.66666;Script completato con successo
17b6860f51316a080b020160bede896f6d6292348c6030dd742367a3f77f25ca;Relatech Spa;2023-12-01;Dicembre 2023;2107.15;26;144;15;16;477.58;2878.56;1075.29;0.73;1804;3610.73;267.46;11.83333;39.66666;Script completato con successo
8784581bf2f3f4743a87fd5489f30ae0ab9a561396df4f0d39c0290ff8d152b0;Relatech Spa;2023-12-01;Dicembre 2023;2107.0;0;168;15;0;460.93;2149.29;667.54;0.25;1482;2107.15;156.09;11.83333;39.66666;Script completato con successo
d75677edd0e1c4206962bd70520f660f28c5dfc785ce38d0372458fee74e17a6;Relatech Spa;2024-01-01;Gennaio 2024;2107.0;22;176;15;10;449.81;2811.39;776.85;0.46;2035;2557.15;189.42;33.83333;71.66666;Script completato con successo
36ccb1826a5630faa19562f54761de5ac0e3c88068a6db5039ebdde49f3e414a;Relatech Spa;2024-02-01;Febbraio 2024;2107.0;26;152;15;3;486.27;2851.42;803.18;0.76;2049;2557.15;189.42;11.83333;39.66666;Script completato con successo
06998384c6d2e1fee4846be7adb64985da421dbcf4ed2acba25d1b7918402be1;Relatech Spa;2024-03-01;Marzo 2024;2107.0;26;168;15;14;473.12;2864.09;814.18;0.09;2050;2557.15;189.42;33.83333;71.66666;Script completato con successo
aa38262f81008e6042459dce3d0f14f3534edad88aeae9e31a65257ddf38bf4a;Relatech Spa;2024-04-01;Aprile 2024;2147.0;26;20;15;64;790.57;3671.52;1208.86;0.34;2463;2597.72;192.42;33.83333;67.66666;Script completato con successo
0d4887063073e54e418a431c8601575b0b3a01d7c1b426be4a166aa719e0ba19;Relatech Spa;2024-05-01;Maggio 2024;2147.0;26;176;15;75;867.09;3891.07;1305.53;0.46;2586;2597.72;192.42;33.83333;67.66666;Script completato con successo
42b05c17e61c259c125012247e9aa46da537442e4885cd27f3a6256755be1441;Relatech Spa;2024-06-01;Giugno 2024;2147.0;26;20;15;21;575.39;4293.01;944.79;0.78;3349;2680.32;198.54;33.83333;84.66666;Script completato con successo
348b9a63803c6eca7fdc511b9f80a39da8cf91a6e40e70329e15b207484171d7;Relatech Spa;2024-06-01;Giugno 2024;2147.0;0;168;15;0;445.77;2147.72;656.87;0.15;1491;1094.14;81.05;33.83333;88.66666;Script completato con successo
87902feb39191788b598481804c1f7b02155945f3d52dfe415a54136bb80d20d;Relatech Spa;2024-07-01;Luglio 2024;2147.0;26;184;15;28;578.83;3241.04;979.96;0.92;2262;2597.72;192.43;33.83333;84.66665;Script completato con successo
b871cd043aaed37d0b051e3eb13cc89265db903c075e4982f9b9d2992f66f612;Relatech Spa;2024-08-01;Agosto 2024;2147.0;26;15;15;4;516.1;2890.96;847.41;0.45;2044;2597.72;192.42;27.83333;63.66666;Script completato con successo
1f3ff733a949c782fde203da73b584b2f466039036dfe85d7d52ef21ebef7d2f;Relatech Spa;2024-09-01;Settembre 2024;2147.72;26;159;15;1;502.91;2869.14;829.36;0.22;2040;2597.72;192.42;27.83333;62.66666;Script completato con successo
1e801241b938369095873ca31f7313770512a0b0a5c032ac2e2221a6b1bafa0b;Relatech Spa;2024-10-01;Ottobre 2024;2147.72;26;23;15;12;495.59;2889.14;837.6;0.46;2052;2597.72;192.43;27.83333;61.66665;Script completato con successo
b00143254f29704b5d73fcaef1b339fc0768791b1590f178afb8c52530e4da96;Relatech Spa;2024-11-01;Novembre 2024;2321.0;26;19;15;1;533.14;2971.61;885.45;0.84;2087;2860.72;211.9;26.83333;61.66666;Script completato con successo
9ab5a1f3034ac95948b48f5e769b37af3387ccee5242cfc649ff00a62bf7cf61;Relatech Spa;2024-12-01;Dicembre 2024;2321.0;0;168;15;0;481.85;2321.43;710.21;0.78;1612;2321.43;171.96;26.83333;61.66666;Script completato con successo
